,qNum,TextLength,WordCount,AvgWordLength,AnswerRate,Entropy,T1,T2,T3,T4,T5
4,4,138,23,6.0,0.4014084507042254,0.9579252270062757,1.0,1.0,1.0,0.0,0.0
16,16,77,11,7.0,0.5834782608695652,0.7760851203942825,1.0,1.0,0.0,0.0,0.0
27,27,0,0,0.0,0.45169600686990125,0.9205329833776668,1.0,1.0,0.0,1.0,0.0
56,56,95,16,5.9375,0.5164498852333589,0.8278137984895148,0.0,1.0,0.0,0.0,0.0
116,116,100,17,5.882352941176471,0.532516493873704,0.7889997675690824,0.0,0.0,0.0,0.0,0.0
118,118,104,17,6.117647058823529,0.5184887459807074,0.8611995823183507,1.0,1.0,1.0,1.0,1.0
121,121,49,6,8.166666666666666,0.3592814371257485,0.8974290331451302,0.0,1.0,1.0,1.0,1.0
127,127,0,0,0.0,0.43119266055045874,0.9160931467119052,1.0,1.0,0.0,1.0,1.0
129,129,182,27,6.7407407407407405,0.4796279893711249,0.9059644024030371,1.0,1.0,1.0,1.0,1.0
132,132,67,11,6.090909090909091,0.38777908343125733,0.9275797426378877,1.0,0.0,0.0,0.0,1.0
139,139,48,7,6.857142857142857,0.3333333333333333,0.6452001684846485,1.0,0.0,0.0,0.0,1.0
153,153,61,6,10.166666666666666,0.75,0.34657359027997264,0.0,0.0,0.0,1.0,0.0
158,158,0,0,0.0,0.4008152173913043,0.9187421611357238,0.0,1.0,1.0,1.0,0.0
202,202,231,41,5.634146341463414,0.7776781712236666,0.5740205274744611,1.0,0.0,0.0,0.0,0.0
225,225,98,16,6.125,0.34444444444444444,0.9386961951724239,0.0,0.0,0.0,0.0,0.0
233,233,144,22,6.545454545454546,0.49002302379125096,0.8482721293893696,1.0,1.0,1.0,1.0,0.0
246,246,92,12,7.666666666666667,0.3090909090909091,0.891367609828351,1.0,1.0,1.0,0.0,1.0
271,271,303,50,6.06,0.38748627881448955,0.9683294913994385,0.0,1.0,1.0,1.0,0.0
285,285,111,13,8.538461538461538,0.6514188903007201,0.7152807067572411,0.0,0.0,0.0,0.0,0.0
316,316,109,19,5.7368421052631575,0.3020833333333333,0.9977316567163212,1.0,0.0,0.0,0.0,0.0
318,318,373,61,6.114754098360656,0.5128205128205128,0.8471992241943994,1.0,1.0,1.0,0.0,1.0
327,327,121,21,5.761904761904762,0.41221033868092694,0.9222518769330588,0.0,1.0,0.0,0.0,1.0
363,363,106,17,6.235294117647059,0.7119341563786008,0.6692482575170247,0.0,1.0,0.0,0.0,0.0
403,403,68,7,9.714285714285714,0.6522923286427599,0.7451690708773319,0.0,0.0,0.0,0.0,1.0
404,404,163,30,5.433333333333334,0.4482213438735178,0.9098099117270161,0.0,0.0,1.0,0.0,1.0
478,478,77,12,6.416666666666667,0.6010362694300518,0.7196255270344576,0.0,0.0,0.0,0.0,1.0
527,527,59,6,9.833333333333334,0.7146075854299662,0.6680077105080571,0.0,0.0,0.0,0.0,0.0
547,547,151,19,7.947368421052632,0.5170998632010944,0.8020602114915575,1.0,1.0,1.0,1.0,1.0
555,555,237,42,5.642857142857143,0.44658493870402804,0.9342499142062745,1.0,1.0,1.0,1.0,1.0
558,558,213,35,6.085714285714285,0.4666666666666667,0.8695853689352875,1.0,1.0,1.0,1.0,1.0
578,578,56,8,7.0,0.5777777777777777,0.5562537833297406,0.0,0.0,0.0,0.0,0.0
586,586,281,44,6.386363636363637,0.24676089517078917,0.9867501041695466,0.0,0.0,1.0,1.0,1.0
609,609,193,37,5.216216216216216,0.4526645768025078,0.8670784365528009,1.0,1.0,1.0,1.0,1.0
620,620,237,40,5.925,0.4231678486997636,0.9177107992796422,1.0,1.0,1.0,1.0,1.0
668,668,185,32,5.78125,0.7201772324471711,0.6502027700843178,1.0,1.0,1.0,1.0,1.0
676,676,35,5,7.0,0.5771369006254343,0.8211029950758376,1.0,1.0,1.0,0.0,1.0
691,691,140,25,5.6,0.6556776556776557,0.7350324054914197,0.0,0.0,0.0,1.0,1.0
704,704,130,20,6.5,0.5774811375507836,0.7699861411867237,0.0,0.0,1.0,0.0,0.0
721,721,66,12,5.5,0.604526503871352,0.7899973668983157,1.0,0.0,1.0,1.0,0.0
733,733,91,15,6.066666666666666,0.8470588235294118,0.39226260050957373,0.0,0.0,0.0,1.0,0.0
741,741,181,31,5.838709677419355,0.7111459968602826,0.6734002276192205,0.0,0.0,0.0,0.0,0.0
761,761,69,12,5.75,0.40458015267175573,0.9175392638924655,0.0,1.0,1.0,1.0,1.0
780,780,37,7,5.285714285714286,0.3943217665615142,0.912054909430684,1.0,0.0,1.0,1.0,1.0
815,815,121,20,6.05,0.774281805745554,0.5814540180166956,0.0,0.0,0.0,0.0,0.0
830,830,111,11,10.090909090909092,0.5131304710295956,0.8805181230081853,1.0,1.0,1.0,1.0,0.0
865,865,285,46,6.195652173913044,0.29743589743589743,0.9638480590010633,1.0,0.0,1.0,1.0,1.0
876,876,35,8,4.375,0.379746835443038,0.9451447012414858,1.0,1.0,1.0,0.0,1.0
877,877,45,8,5.625,0.5142314990512334,0.8782085612690675,0.0,0.0,0.0,0.0,0.0
909,909,130,25,5.2,0.5308641975308642,0.7764637677901913,0.0,0.0,0.0,1.0,0.0
